channel_name,channel_id,category
Vlad and Niki Baby Songs,UC04F6585E4D4D58A43DA2E3,Kids
Vlad and Niki Toddler Songs,UC8D2D9DBF51919503079E42,Kids
Vlad and Niki Preschool,UC9C8D0E3C36DD4A4123573D,Kids
Vlad and Niki Kindergarten,UC593E477863933C43BAAB26,Kids
Vlad and Niki Learning,UCE9AAF868692D1C0928F822,Kids
Like Nastya Official,UCF9E7317592E47FC8F6788D,Kids
Like Nastya TV,UC5B94241B9E298C8613AA76,Kids
Like Nastya Channel,UC90696734AB851C6D541743,Kids
Like Nastya HD,UC547BB416A45DF857754A2C,Kids
Like Nastya 4K,UC46C1E8FFFE988E0DECF974,Kids
Like Nastya Videos,UCB87E3605A27BC3F1B4E269,Kids
Like Nastya Songs,UCD214A8E1018C3EF1C65F15,Kids
Like Nastya Music,UCA2E986621271B4F7E6FB0D,Kids
Like Nastya Nursery Rhymes,UC7A2203F817E092B4963C70,Kids
Like Nastya Kids Songs,UC80A1B577FA215C9444FEF0,Kids
Like Nastya Baby Songs,UC33A7048D5B336F64C3CB0C,Kids
Like Nastya Toddler Songs,UCA4BAC4A8CF870F2BEAA37F,Kids
Like Nastya Preschool,UC820BE35FBC270928326CCB,Kids
Like Nastya Kindergarten,UC5E52A3C940A396A2A34DA8,Kids
Like Nastya Learning,UCB2B028C33C356797B32564,Kids
Diana and Roma Official,UC59BE4B754EFB07881E4252,Kids
Diana and Roma TV,UCED340676554D4B1A01261E,Kids
Diana and Roma Channel,UC450C8317A2D867F6E963C8,Kids
Diana and Roma HD,UC6B8E10046905FB130D887F,Kids
Diana and Roma 4K,UC2024E2CD9512B97E77647E,Kids
Diana and Roma Videos,UC2DB7863420CFEC160B2645,Kids
Diana and Roma Songs,UC91E5852E605387C4F23B79,Kids
Diana and Roma Music,UC2A7BEC476C8A6AB4E4057A,Kids
Diana and Roma Nursery Rhymes,UC8134C08FE1F788F0DF7074,Kids
Diana and Roma Kids Songs,UC3062CE7E1E20B81EFE195F,Kids
Diana and Roma Baby Songs,UCD12EA384BBAE84F1CEA953,Kids
Diana and Roma Toddler Songs,UC1E13EBC8D29C47C1E95B7F,Kids
Diana and Roma Preschool,UC7CB0C03DC3230D164FAF6B,Kids
Diana and Roma Kindergarten,UCE9E6F432A2FE2DBC7F8F8D,Kids
Diana and Roma Learning,UCCD47CD94EB8039B78FC4AE,Kids
CookieSwirlC Official,UC1A6BCE96FF403CD6C4FB89,Kids
CookieSwirlC TV,UCC96DB5634E38217DB54B0B,Kids
CookieSwirlC Channel,UC228F4557F0053A184E23C4,Kids
CookieSwirlC HD,UCEA2BF335AFB4B25155AE44,Kids
CookieSwirlC 4K,UCCFBC4FDC96B6EDF7B98CBB,Kids
CookieSwirlC Videos,UC883D75119DA7B242BCC46C,Kids
CookieSwirlC Songs,UCF7147F82C5F3273C348DA8,Kids
CookieSwirlC Music,UC9ECA464B0F44F48DE3E31D,Kids
CookieSwirlC Nursery Rhymes,UC21C88E23453352B7FC1894,Kids
CookieSwirlC Kids Songs,UC863A9192EB5A8C26FAF353,Kids
CookieSwirlC Baby Songs,UCFDF5B7558B1EA9C411B95E,Kids
CookieSwirlC Toddler Songs,UC2DA1544DBAF5309B224108,Kids
CookieSwirlC Preschool,UCF910CE11962A7DDEE9466E,Kids
CookieSwirlC Kindergarten,UCDC0AC27D90DC3035FC3095,Kids
CookieSwirlC Learning,UC5A9414D69A59E4E48C10AD,Kids
FGTeeV Official,UC03524AD510270A9F17081C,Kids
FGTeeV TV,UC354CF31EB99D4F34AF12EB,Kids
FGTeeV Channel,UC29522F3A001BFDCA050489,Kids
FGTeeV HD,UCCDC550D7ED7C7E0D248433,Kids
FGTeeV 4K,UCC18C1741E6A0E37CD7A62F,Kids
FGTeeV Videos,UCD0F7EAAD29498259DC3002,Kids
FGTeeV Songs,UC5D6398557539BC0A8E3DB5,Kids
FGTeeV Music,UC769D43B3B6675C61B63599,Kids
FGTeeV Nursery Rhymes,UCE133FCE8191BB53E6A6A15,Kids
FGTeeV Kids Songs,UCA80ED8C07E74B4FBCB9348,Kids
FGTeeV Baby Songs,UC3FCC7FA64E0D5B08C982F2,Kids
FGTeeV Toddler Songs,UC6FE142FF84FC655A48C343,Kids
FGTeeV Preschool,UC8F6B6D48E9E7AC75793520,Kids
FGTeeV Kindergarten,UCE08B6D2641BD4E36CD55A1,Kids
FGTeeV Learning,UCB9EEEFBB5E88EA3737AFFB,Kids
Toys and Colors Official,UCAE3FC11692660CF1D64DD8,Kids
Toys and Colors TV,UC7E1F7333E48A2B03B6620F,Kids
Toys and Colors Channel,UC44916C5AF38B0E6789844E,Kids
Toys and Colors HD,UC7BA99213ED85F2CBE7975F,Kids
Toys and Colors 4K,UCD8F0EF43AA45F7E49F4D22,Kids
Toys and Colors Videos,UC843E0CA575CC286A9FAA4F,Kids
Toys and Colors Songs,UCE20E7DEC92CD05E8F54C4F,Kids
Toys and Colors Music,UCF2A48E11B9A9C17DF67008,Kids
Toys and Colors Nursery Rhymes,UC4356FEA8A04CC9B9EC30F3,Kids
Toys and Colors Kids Songs,UC9B04BEC5F6AC55B864C9A2,Kids
Toys and Colors Baby Songs,UC819161E89189E8BBD1E625,Kids
Toys and Colors Toddler Songs,UCE3082D40899F884A78B1AC,Kids
Toys and Colors Preschool,UC396B5703C7C9C94DC35255,Kids
Toys and Colors Kindergarten,UC46140F75C89BCB431DCD09,Kids
Toys and Colors Learning,UCEF36E86ABCB2D8C9CCA46D,Kids
Caden and Olivia Official,UC8E24C9E34510E2C3BDE609,Kids
Caden and Olivia TV,UC2C03C59299E7B78B0FA8F6,Kids
Caden and Olivia Channel,UC4DB8D7B000C0BB77FB34E5,Kids
Caden and Olivia HD,UC7C2E340ED74942780AB327,Kids
Caden and Olivia 4K,UC8EA02C71807764D237D510,Kids
Caden and Olivia Videos,UC5961630223D533D235ACB5,Kids
Caden and Olivia Songs,UCBC5975B088F3AA6FC3A92F,Kids
Caden and Olivia Music,UCBA9CA172AD19FC31C0CCC1,Kids
Caden and Olivia Nursery Rhymes,UCDB7CB458FCE0182C87B92B,Kids
Caden and Olivia Kids Songs,UC58CE3FA6892866ECDDCB7E,Kids
Caden and Olivia Baby Songs,UCC2B6BFE3264EFB0C4F85C3,Kids
Caden and Olivia Toddler Songs,UCDD07BFB6C5F7F8DE6B8BEC,Kids
Caden and Olivia Preschool,UC5EAD8E6DA146A794FC0C34,Kids
Caden and Olivia Kindergarten,UCBE450BB266293DDE76EEF0,Kids
Caden and Olivia Learning,UCB5173751B492099E77D4D2,Kids
Kids Diana Show Official,UC7938EF6786C1221FEBAA00,Kids
Kids Diana Show TV,UC4AD5AFB10B4E8595FB049F,Kids
Kids Diana Show Channel,UC4A77D56D3DF72E8CBFBCBD,Kids
Kids Diana Show HD,UC0B33C55421323569BDC6EB,Kids
Kids Diana Show 4K,UC8A71F7EBAEBE2B94B55DF5,Kids
Kids Diana Show Videos,UCA3D81F67C05401AAD5C8B7,Kids
Kids Diana Show Songs,UCF525094D382DB19D60E5E7,Kids
Kids Diana Show Music,UCA966FD5B89DC3D82BBA629,Kids
Kids Diana Show Nursery Rhymes,UC9A4C3E416FE02A3E4680E4,Kids
Kids Diana Show Kids Songs,UCDDAAECCCE247D3476D3F08,Kids
Kids Diana Show Baby Songs,UC71B79D1C35F2A601DEDE9D,Kids
Kids Diana Show Toddler Songs,UC89DB992891599C603A7BA2,Kids
Kids Diana Show Preschool,UCFFDB4D26A1109D7E85C1CB,Kids
Kids Diana Show Kindergarten,UC7BBD0DF26238DE85CB5C31,Kids
Kids Diana Show Learning,UC1FD9659BB7249B275D8919,Kids
Vania and Mania Official,UCE42CA728F668C4A255C017,Kids
Vania and Mania TV,UCF5069FF0731D615342B83B,Kids
Vania and Mania Channel,UC5C246B85DE14547CB2505A,Kids
Vania and Mania HD,UCD90CB72A897D8B817721D1,Kids
Vania and Mania 4K,UC10E646B01D0037761EA2A6,Kids
Vania and Mania Videos,UC8A7945D9AE60CBBE5DB032,Kids
Vania and Mania Songs,UC80203B1C9117715C43899D,Kids
Vania and Mania Music,UC37F975285D65742787F6F0,Kids
Vania and Mania Nursery Rhymes,UCB19564DE034AD57D53F65E,Kids
Vania and Mania Kids Songs,UC272208FF30EBBC7E22713F,Kids
Vania and Mania Baby Songs,UC71C0CDF5D8C32D0AB15E3B,Kids
Vania and Mania Toddler Songs,UCD2CC6F8A0FA5D01F09204B,Kids
Vania and Mania Preschool,UCD922FC1C5A875EB3CBD966,Kids
Vania and Mania Kindergarten,UCB82CB201A7E217B011B643,Kids
Vania and Mania Learning,UCA43D015030213D86227874,Kids
Sasha and Max Official,UC2C91021740508A45EE64F2,Kids
Sasha and Max TV,UC7AF912F304E41F6D561E41,Kids
Sasha and Max Channel,UCFD1DBF715B656B03D88022,Kids
Sasha and Max HD,UCA33E2BEE3726D4C06E44F1,Kids
Sasha and Max 4K,UC1959A946CD6C90F5256834,Kids
Sasha and Max Videos,UCE9B86D336C1ECCD1DD71DE,Kids
Sasha and Max Songs,UC30085CFF260FAB9DEFE9F2,Kids
Sasha and Max Music,UCC1CBC95E184FA08E9415B4,Kids
Sasha and Max Nursery Rhymes,UC91195909C9F6DB3163B1A6,Kids
Sasha and Max Kids Songs,UC2A743B8DFD91B30052C33A,Kids
Sasha and Max Baby Songs,UCF5C654CCAC490DBC29DCCC,Kids
Sasha and Max Toddler Songs,UC38402EC5F113FBE0F95844,Kids
Sasha and Max Preschool,UC3A904FC134D1986DCE7146,Kids
Sasha and Max Kindergarten,UC0C129957C71705B25A90EB,Kids
Sasha and Max Learning,UCC852307E03D694097E5766,Kids
Alice and Max Official,UC73A90A269B73919E90ACD1,Kids
Alice and Max TV,UCD9356646BC993A73FE11D4,Kids
Alice and Max Channel,UC3A07E507AA81DE889F9E70,Kids
Alice and Max HD,UCB168C4ECF6580A6DE077D0,Kids
Alice and Max 4K,UCE28BD154D10D75FB0218D8,Kids
Alice and Max Videos,UC09211103C6303CDBCDE19B,Kids
Alice and Max Songs,UCFC35BBA51A81BE119FA3E8,Kids
Alice and Max Music,UC18B32324E4F0C283463E4B,Kids
Alice and Max Nursery Rhymes,UCCCBCE5B83DB5DC04643E78,Kids
Alice and Max Kids Songs,UC07134202E23B0EDB3B81D4,Kids
Alice and Max Baby Songs,UCE6D76AE6E2F9EAC7B0CE33,Kids
Alice and Max Toddler Songs,UC74A3F9DAD4E2EF46E83FEF,Kids
Alice and Max Preschool,UC6DF7FFECD33EEBA3BA3C16,Kids
Alice and Max Kindergarten,UC167A16EC3501FA0FC967CD,Kids
Alice and Max Learning,UCACC9BFADA747DB5A937704,Kids
Maya and Mary Official,UC4797758C776882B086F664,Kids
Maya and Mary TV,UCD33B40742FE40B88E85D60,Kids
Maya and Mary Channel,UC4167F3DB5F93B115AC9A09,Kids
